business_zone_id,zone_name,country,zone_type,tax_incentives,infrastructure_quality,logistics_hubs,major_companies_present,investment_opportunities
ARC-BIZ-011,Tromso Arctic Knowledge Hub,Norway,Research/Industry,Standard Norwegian rates (22%),Very High,"Tromso Port,Tromso Airport","Kongsberg Maritime,University of Tromso,Leroy,Equinor","Arctic technology,R&D center,Marine biotech"
ARC-BIZ-012,Hammerfest LNG Hub,Norway,Energy Zone,Standard rates,High,"Melkoya LNG Terminal,Hammerfest Port","Equinor (operator),Hammerfest kommune","LNG services,Blue hydrogen,Business park development"
ARC-BIZ-013,Kirkenes Border Zone,Norway,Border Region,Norwegian rates with regional support,Medium,"Kirkenes Port,Kirkenes Airport","Bjornevatn Mine,Sydvaranger (reopening)","Mining restart,Arctic cross-border logistics,Russian trade facilitation"
ARC-BIZ-014,Svalbard Research and Tourism,Longyearbyen,Norway,Svalbard Treaty tax regime,High (specialized),"Longyearbyen Port,Svalbard Airport","Kings Bay,Store Norske,University Centre","Research facilities,Spaceport development,Sustainable tourism"
ARC-BIZ-015,Bodo Defense and Aerospace,Norway,Strategic Zone,Standard rates with defense contracts,High,"Bodo Port,Bodo Airport,NATO JWC","Norwegian Air Force,NATO,Local SMEs","Defense technology,Arctic surveillance,Aerospace services"
ARC-BIZ-016,Narvik Iron Ore Hub,Norway,Resource Transport,Standard rates,Very High,"Narvik Port,Ofoten Railway","LKAB (Swedish),Narvik Havn","Ore terminal expansion,Green steel logistics,Arctic container services"
ARC-BIZ-017,Churchill Arctic Gateway,Canada,Port Zone,Federal/Provincial support programs,Improving (major investments),"Churchill Port,Hudson Bay Railway","Arctic Gateway Group,Fednav,Denesoline","Year-round operations,Grain terminal,Arctic transshipment"
ARC-BIZ-018,Iqaluit Government Center,Canada,Administrative Hub,Federal programs,Medium,"Iqaluit Deep Sea Port,Iqaluit Airport","Government of Nunavut,Federal agencies","Government services,Healthcare infrastructure,Education facilities"
ARC-BIZ-019,Yellowknife Mining Finance,Canada,Resource Capital,Standard rates (Federal),High,"Yellowknife Airport,Highway network","Dominion Diamond (Ekati),De Beers (Snap Lake)","Diamond services,Mining finance,Indigenous partnerships"
ARC-BIZ-020,Whitehorse Transport Hub,Canada,Yukon Capital,Standard rates,Medium,"Whitehorse Airport,Alaska Highway","Government of Yukon,White Pass Railway","Government services,Tourism,Transport logistics"
ARC-BIZ-021,Inuvik Oil Services,Canada,Petroleum Support,Standard rates,Medium,"Tuktoyaktuk Port,Inuvik Airport","Imperial Oil (operator),Local contractors","Oilfield services,Arctic research,Indigenous business development"
ARC-BIZ-022,Cambridge Bay Logistics,Nunavut,Central Arctic Hub,Federal support,Medium,"Cambridge Bay Port,Cambridge Bay Airport","Canadian Coast Guard,Polar Knowledge Canada","Arctic research support,Central Arctic logistics,Government services"
ARC-BIZ-023,Prudhoe Bay Oil Complex,USA,Petroleum Industrial,Alaska tax regime,High (extensive oilfield),"Deadhorse Airport,Pipeline facilities","BP (historical),ConocoPhillips,ExxonMobil,Hilcorp","Field redevelopment,Enhanced oil recovery,Arctic technology"
ARC-BIZ-024,Anchorage Arctic Logistics,USA,Transport Hub,Standard US rates,Very High,"Port of Anchorage,Ted Stevens Airport","Alaska Railroad,FedEx,UPS,ConocoPhillips","Arctic supply chain hub,Air cargo expansion,Cold chain logistics"
ARC-BIZ-025,Fairbanks Government and Research,USA,Administrative/Research,Standard rates,High,"Fairbanks Airport,Railroad connection","University of Alaska,US Army,State agencies","Arctic research center,Military support services,Education"
ARC-BIZ-026,Valdez Oil Terminal Zone,USA,Energy Transport,Standard rates,Very High,"Valdez Marine Terminal,Valdez Port",Alyeska Pipeline Service,"Terminal maintenance,Emergency response,Marine services"
ARC-BIZ-027,Barrow Energy Center,USA,Petroleum/Native Corp,Alaska Native Corporation structure,Medium,"Barrow Airport,Local port","Ukpeagvik Inupiat Corporation,City of Utqiagvik","Energy services,Arctic construction,Native business development"
ARC-BIZ-028,Rovaniemi Arctic Circle,Finland,Tourism/Technology,Standard Finnish rates (20%),High,"Rovaniemi Airport,Railway hub","Arctic Circle Finland,UPM-Kymmene,Local SMEs","Arctic tourism services,Wood processing,Technology center"
ARC-BIZ-029,Kemi Industrial Port,Finland,Industrial/Port Zone,Standard rates,Medium,"Kemi Port,Kemi Airport","Metsa Board,Outokumpu,Kemi Port Authority","Pulp and paper services,Steel processing,Arctic port development"
ARC-BIZ-030,Oulu Technology Center,Finland,Technology Hub,Standard rates,High,"Oulu Airport,Oulu Port","Nokia,Nordic Semiconductor,University of Oulu","5G/6G Arctic applications,Semiconductor services,Cold climate tech"
ARC-BIZ-031,Lulea Green Industrial,Sweden,Sustainable Industry,Standard Swedish rates,Very High,"Lulea Port,Lulea Airport","SSAB (HYBRIT),Facebook,Margareta","Green steel (hydrogen),Data centers (green energy),Battery manufacturing"
ARC-BIZ-032,Kiruna Mining Center,Sweden,Extractive/Space,Standard rates,High,"Kiruna Airport,Railway to Narvik","LKAB (iron ore),Esrange Space Center,Virgin Galactic","Iron ore expansion,Space tourism,Arctic research"
ARC-BIZ-033,Kaliningrad Gateway,Russia,Exclave Port,Special economic zone status,Medium (improving),"Kaliningrad Sea Port,Khrabrovo Airport","Kaliningrad businesses,Baltic traders","Arctic transshipment,Baltic trade facilitation,Manufacturing"
ARC-BIZ-034,Murmashi Transport Hub,Russia,Logistics Zone,Standard rates,Medium,"Murmashi Railway Terminal,Kola Highway","Russian Railways,Local logistics","Railway logistics,Highway services,Arctic distribution"
ARC-BIZ-035,Vardo Fisheries,Norway,Fishing/Processing,Standard rates,Medium,"Vardo Harbor,Vardo Airport","Leroy Seafood,Norwegian Coast Guard","Fish processing expansion,Arctic fisheries research"
ARC-BIZ-036,Alta Regional Center,Norway,Regional Hub,Standard rates,Medium,"Alta Airport,Highway connections","Alta University College,Local businesses","Regional services,Arctic education,Slate industry"
ARC-BIZ-037,Kautokeino Sami Center,Norway,Indigenous Hub,Standard rates,Medium,Highway connections,"Sami University,Reindeer herding cooperatives","Sami cultural tourism,Indigenous education,Traditional crafts"
ARC-BIZ-038,Salekhard Arctic Capital,Russia,Administrative Center,Standard rates,Medium,"Salekhard Airport,Ob River port","Gazprom (regional),Yamal government","Gas field services,Arctic administration,Indigenous development"
ARC-BIZ-039,Novy Urengoy Gas Center,Russia,Petroleum Industrial,Standard rates,High,"Novy Urengoy Airport,Railway","Gazprom (major hub),Service companies","Gas production services,Pipeline maintenance,Regional logistics"
ARC-BIZ-040,Bovanenkovo Gas Field,Yamal,Extractive Zone,Special development regime,High (remote industrial),Airport and road,"Gazprom (operator),Contractors","Production expansion,Arctic gas technology,Helium extraction"
ARC-BIZ-041,Southeast Alaska Maritime Industrial Corridor (Ketchikan-Wrangell Maritime Prosperity Zone),USA,Maritime Prosperity Zone designation (shipbuilding + port + logistics),"10 years of federal designation support under 2025 Executive Order + Maritime Action Plan (technical assistance, workforce development, federal procurement priority for domestic shipbuilding)","High (deepwater access, renewable hydroelectric power, existing JAG Marine Group yards in Ketchikan, Seward & proposed Wrangell 6-Mile)",Port of Ketchikan; Wrangell deep-water 6-Mile site; AMLS barge ramp; SE Alaska marine-service network,"JAG Marine Group (Ketchikan/Wrangell/Seward yards), Alaska Marine Lines, USCG (Coast Guard City designations)","Large-vessel shipbuilding & repair, yard overflow, freight consolidation, data-center/industrial park at 6-Mile Mill, 500+ potential shipyard jobs,https://www.wrangell.com/community/2026-04-30-press-release"
