zone_id,zone_name,country,area_sq_km,fishing_rights_regime,mineral_rights_regime,oil_gas_blocks,environmental_regulations,licensing_authority
ARC-EEZ-020,Wrangel Island Nature Reserve,Russia,22000,Restricted,No extraction,No licensing,UNESCO World Heritage protection,Wrangel Island Reserve Administration
ARC-EEZ-021,Northeast Greenland National Park,Greenland,972000,Traditional use only,No extraction,No licensing,Largest national park protection,Greenland Self-Government
ARC-EEZ-022,Nunavut Settlement Region,Canada,2000000,Co-management,Co-management,Impact benefit agreements,Nunavut Wildlife Management Board,Nunavut Tunngavik Inc.
ARC-EEZ-023,Inuvialuit Settlement Region,Canada,90000,Co-management,Co-management,Beaufort Sea agreements,Inuvialuit Final Agreement,Inuvialuit Regional Corporation
ARC-EEZ-024,Central Arctic Ocean Fisheries Agreement Zone,International,2800000,Regulated moratorium (16 years),N/A,N/A,Science-based management,CAOFA Signatories
ARC-EEZ-025,Arctic Council PAME Shipping Zones,International,Arctic Ocean,Voluntary guidelines,Varies by zone,N/A,Polar Code mandatory,IMO/PAME Working Group
ARC-EEZ-026,Barents Sea Loophole (High Seas),International,67000,Regulated (NEAFC),International Seabed Authority,N/A,Regional management,NEAFC/ISA
ARC-EEZ-027,Central Arctic Ocean (High Seas),International,2800000,Fishing moratorium,International Seabed Authority,N/A,CAOFA restrictions,UN/ISA
ARC-EEZ-028,Norwegian Sea - Arctic Waters,Norway/Iceland,1200000,EEZ boundaries,Continental shelf claims,Active Norwegian licensing,Norwegian Sea regulations,Joint commissions
ARC-EEZ-029,Barents Sea Grey Zone,Norway/Russia,175000,Joint management,Joint management,Active cooperation,Barents Sea agreements,Joint Norwegian-Russian Commission
ARC-EEZ-030,Lincoln Sea High Arctic,Canada/Denmark,350000,Disputed boundaries,Continental shelf submissions,N/A,Hans Island resolved,Pending delimitation
ARC-EEZ-031,Beaufort Sea Maritime Boundary,Canada/USA,21000,Disputed boundaries,Continental shelf claims,N/A,Ongoing negotiations,Bilateral discussions
ARC-EEZ-032,Chukchi Sea Boundary,Russia/USA,15000,EEZ boundary agreed,Extended shelf cooperation,Limited,US-Russia agreements,Bilateral commission
ARC-EEZ-033,Bering Strait Zone,Russia/USA,45000,Joint management,Joint management,N/A,Bering Sea agreements,Bilateral commission
ARC-EEZ-034,Baffin Bay Zone,Canada/Greenland,180000,EEZ boundaries,Continental shelf cooperation,N/A,Joint management,Joint commissions
ARC-EEZ-035,Canadian Arctic Archipelago Internal Waters,Canada,1400000,Exclusive,Exclusive,No active offshore,Internal waters claim,Canadian Government
ARC-EEZ-036,Northern Sea Route Waters,Russia,6000000,Regulated access,State control,State licensing,NSR environmental regulations,Rosatom/Ministry of Transport
ARC-EEZ-037,Northwest Passage Waters,Canada,1200000,Regulated access,State control,N/A,Canadian Arctic Waters Pollution Prevention Act,Canadian Government
ARC-EEZ-038,Kara Gate Transit Zone,Russia,15000,International strait rights,State control,Active Yamal LNG,NSR regulations,Rosatom
ARC-EEZ-039,Yugorsky Shar Transit Zone,Russia,12000,International strait rights,State control,Active shipping,NSR regulations,Rosatom
ARC-EEZ-040,Long Strait Transit Zone,Russia/USA,8000,International strait rights,Joint interest,N/A,International navigation,International Law
ARC-EEZ-041,Dmitry Laptev Strait,Russia,6000,Internal waters claim,State control,N/A,NSR regulations,Rosatom
ARC-EEZ-042,Sannikov Strait,Russia,8000,Internal waters claim,State control,N/A,NSR regulations,Rosatom
ARC-EEZ-043,Prince of Wales Strait,Canada,12000,Internal waters claim,State control,N/A,Canadian regulations,Canadian Coast Guard
ARC-EEZ-044,McClure Strait,Canada,18000,Internal waters claim,State control,N/A,Canadian regulations,Canadian Coast Guard
ARC-EEZ-045,Parry Channel,Canada,25000,Internal waters claim,State control,N/A,Canadian regulations,Canadian Coast Guard
ARC-EEZ-046,Hudson Bay and Strait,Canada,1200000,Exclusive,Exclusive,No active offshore,Canadian environmental law,Canadian Government
ARC-EEZ-047,Foxe Basin,Canada,280000,Exclusive,Exclusive,No active offshore,Conservation area,Federal/Provincial
ARC-EEZ-048,Davis Strait,Canada/Greenland,650000,EEZ boundaries,Continental shelf cooperation,N/A,Joint research,Joint commissions
ARC-EEZ-049,Danish Strait,Greenland/Iceland,95000,International strait rights,EEZ boundaries,N/A,International navigation,International Law
ARC-EEZ-050,Nares Strait,Canada/Greenland,95000,Internal waters claim/EEZ,Disputed,No active offshore,Bilateral management,Joint Commission
