shipyard_id,shipyard_name,location,country,latitude,longitude,specialization,dry_dock_size_m,max_vessel_size_dwt,arctic_vessel_capability,annual_capacity_ships,key_clients,ownership_type,sources,confidence,last_verified
ARC-SHIP-047,Slippurinn DNG,Akureyri,Iceland,65.6816,-18.0986,"Floating Docks (flotkvíar),Passenger Vessels,Processing Equipment",,1200,Coastal + small Arctic craft,2,"Icelandic fishing fleet,Arctic cruise operators",Private,"slippurinndng.is (company, 4 Iceland offices, floating docks + passenger vessels); linkedin.com/company/slippurinn-dng (shipyard profile, Akureyri)",70,2026-08-22
ARC-SHIP-048,Ketchikan Shipyard (JAG Ketchikan LLC),"Ketchikan, Alaska",USA,55.3422,-131.6461,"Aluminum & steel marine fabrication, vessel repair/refit/modernization, drydocking, heavy lift","Dual floating drydocks (Nos. 1-2); 70,000 sq ft Doug Ward assembly hall",2500,Arc3 (USCG/NOAA Arctic-support repair),25,"NOAA (Henry B. Bigelow $99.6M SLE, Oscar Dyson $95M midlife, Rainier), USCG (Douglas Denman), US Navy SEAFAC IX527, Alaska fishing fleet, commercial",Public (AIDEA-owned; JAG Marine Group operator since Sept 2025),"jagketchikan.com (official: dual floating drydocks, 70k sq ft assembly hall, aluminum/steel fabrication, government/international clients); ketchikandailynews.com ($99.6M NOAA Bigelow contract Jun 2026; AIDEA-JAG transition from Vigor Alaska); akbizmag.com (AIDEA puts JAG at helm; 3-4x revenue target, 100+ jobs); krbd.org (2026-02: ~175 staff, volume up; Vigor exited Nov 2025)",92,2026-08-22
ARC-SHIP-049,Novatek Kola Shipyard (CSMS — Centre for Large-Tonnage Marine Structures),Belokamenka (Murmansk Oblast),Russia,69.0756,33.2836,"LNG gravity-based structures (GBS), large-tonnage offshore modules, LNG topside integration, dry-dock GBS construction; 380m skidding track, 40,000t lifting capacity",380,160000,Arc9 (GBS for Arctic LNG),1,"Novatek (Arctic LNG 2 GBS1-3, Murmansk LNG), Rosatom-adjacent Arctic LNG supply chain",Private (Novatek — Novatek-Murmansk LLC),"\""vedomosti.ru (2026-05-08: Novatek to invest at least RUB 228B by end-2027 in CSMS Belokamenka; agreement approved 2026-04-30; ~RUB 18.7B regional tax payments; land lease without tender); portnews.ru (CSMS created under 2015 government order; strategic regional-scale investment project, RUB 228B capex, RUB 18.71B tax revenues); thebarentsobserver.com (2026: Arctic LNG 2 Train 3 modules arriving from China, sanctions context, GBS construction restart); en.arctic.ru (Murmansk large-tonnage maritime structures construction centre described as globally unmatched; regional transport hub development)\"",92,2026-08-22
ARC-SHIP-050,Kimek AS,Kirkenes", Sør-Varanger," Finnmark"""
ARC-SHIP-050,Kimek AS,"Kirkenes, Sor-Varanger (Storgata 4, 9900 Kirkenes)",Norway,69.7270,30.0456,"Offshore production/repair yard - new construction, maintenance & remodelling for offshore; ship repair and rebuilding; steel fabrication; industrial services (machining, steel/aluminium structures, surface treatment incl. water jetting/sandblasting/painting); electrical installations and electromechanical workshop (motors, generators); mobile crane lifting","No dry dock; heated ship hall 80x40 m (33.6 m high), heavy-lift 117x24 m up to 5,000 t, 280 m quay, crane capacity 2x50 t",N/A,"Yes - one of the world's northernmost offshore/industrial yards, near the Barents Sea; Arctic offshore structures production, repair and maintenance; ISO 3834-2:2021 certified (Kiwa, cert no. 2306, valid to 2027-12-21); ISO 9001:2021",N/A,Petroleum/oil & gas sector; Sor-Varanger mining industry; offshore vessel operators,"Private (100% Kimek Holding AS; est. 1986, org.nr. 941 982 824)","kimek.com/about-us; kimek.com/offshore-production; kimek.com/industry; kimek.com/electro-services; proff.no/selskap/kimek-as/kirkenes/reparatorer/IFKTYLK10KD (73 employees, CEO Greger Mannsverk, 2025 revenue NOK 134.8M, profit NOK 14.5M); 1881.no/skipsbyggerier-og-verft.../kimek-as; kimek.com/_files/ugd/... (ISO 3834-2:2021 certificate)",88,2026-08-22
ARC-SHIP-051,"Wrangell 6-Mile Shipyard (JAG Marine Group, proposed)","Wrangell (6-Mile Mill site, ~6 mi south of harbour)",USA,56.385,-132.355,"Proposed large-vessel shipyard: fabrication, construction and repair of vessels up to 600 ft; flexible shiplift system (Pearlson Group design) allowing multiple ships in work simultaneously; 24-acre site extending into water",Planned shiplift + piers (design phase; Pearlson & Pearlson feasibility),600,Arc4 (targets USCG/NOAA/Navy Pacific+Arctic-operating vessels),0,"USCG (incl. future Arctic Security Cutter maintenance), NOAA, US Navy, commercial fleet","Private (JAG Marine Group — operator of Ketchikan & Seward shipyards; 3-yr tidelands lease approved by Borough Assembly 2026-02-24, MOU Jan 28 2026, $750K joint feasibility study with borough)","wrangellsentinel.com (3-year tidelands lease approved Feb 24 2026; full shipyard $605-726M estimate; 24-acre site; Pearlson & Pearlson design; full design est. Jan 2028 at $17.8-21.3M; Ketchikan yard drydock ~1/3 proposed Wrangell capacity); kstk.org (could become Southeast's largest shipyard; borough $550K + JAG $200K for 30% design/feasibility; 10% community give-back program; ~150 jobs); wrangell.com 2026-02-24 + 2026-04-30 (official: JAG Marine Group partnership, Pearlson Group shiplift design, Coast Guard City designation); juneauindependent.com (Assembly OKs 3-yr tidelands lease, federal funding pursuit)",90,2026-08-22
ARC-SHIP-052,Kolskaya Shipyard - sports & pleasure boat workshop (planned),Murmansk (Kola Bay shore; yard site per 2026 announcement),69.06,33.2,"New 1,500 sq m workshop for sports and pleasure boats: assembly, finishing and mechanical workshops, slipway and quay; also ship repair services; leverages AZRF tax benefits and land plots without bidding; construction start 2027, completion 2031; ~RUB 27M project",Slipway (planned; no dry dock in announced scope),N/A (recreational/small craft),Arc2 (small craft newbuild + ship repair in AZRF),N/A,"Private boat owners, sports/pleasure boat market in Murmansk Oblast and AZRF; ship repair clients",Private (Kolskaya Shipyard),"www1.ru 2026-05-22 (independent news: 1,500 sq m workshop, assembly/finishing/mechanical shops, slipway + quay, RUB 27M, 2027-2031 timeline, AZRF advantages); en.arctic.ru 2026-05-27 (official Arctic Russia portal: AZRF 314 residents / RUB 371B+ investment portfolio, tax benefits and land-without-tender regime context). NAME DISAMBIGUATION: Kolskaya Shipyard (Murmansk, Kola Bay) is NOT Novatek's CSMS Belokamenka (ARC-SHIP-049), nor the Kolskaya NPP construction project",75,2026-08-22,
ARC-SHIP-053,Frederikshavn State-Owned Arctic Vessel Assembly Facility (planned),"Frederikshavn, North Jutland",Denmark,57.4408,10.5366,"Distributed modular assembly of 5 new Danish Navy Arctic patrol vessels; state-owned facility designed for future larger naval ships; anchors domestic maritime industrial base (2026-02 decision, Deloitte analysis)",,4000,Yes (Arctic patrol vessels; complements 3 Knud Rasmussen-class),5 Arctic vessels (initial programme),"Danish Navy (Forsvaret), Danish maritime industry (designers, suppliers, shipyards)",State (Danish Ministry of Defence),"""navalnews.com (2026-02: distributed construction strategy, central assembly Frederikshavn, government-owned, Deloitte analysis); fmn.dk (official Danish MoD: Second Agreement on Arctic & North Atlantic DKK 27.4B incl. new Arctic vessels, 2025-2033); danskemaritime.dk (Danish Maritime industry association welcomes strategy, national framework)""",90,2026-08-22
ARC-SHIP-055,Sata Shipbuilding (Mantyluoto),"Pori (Mantyluoto), Satakunta",Finland,61.5992,21.4100,"Steel production + heavy block construction specialist for polar vessels; steel-cut ceremony for first USCG Arctic Security Cutter held 2026-06-23; fabricated/shipped 275-tonne CCGS Polar Max hull block to Helsinki Shipyard; combined Helsinki+Pori workforce targeted ~1,000 by end-2026",,,Yes (polar-class hull blocks/heavy structures for heavy icebreaker programmes),,Helsinki Shipyard / Inocea Group (USCG ASC programme; Canada Polar Max),Private (Inocea Group / Davie),"helsinkishipyard.fi/pori-based-sata-shipbuilding-celebrates-start-of-construction-of-arctic-security-cutter-icebreakers-for-the-united-states-coast-guard (OFFICIAL industry, 2026-06-23); news.uscg.mil/Press-Releases/Article/4403354 (OFFICIAL .mil); en.portnews.ru/news/393299; gcaptain.com/construction-starts-on-first-arctic-security-cutter-in-finland; en.highnorthnews.com/business/finland-cuts-steel-for-first-us-coast-guard-arctic-security-cutter-marking-milestone/1114611",92,2026-08-23
ARC-SHIP-056,Davie Defense - Gulf Copper Galveston & Port Arthur,"Galveston & Port Arthur, Texas",USA,29.3013,-94.7975,Domestic build site for three of Davie Defense's five USCG Arctic Security Cutters (USCG official confirms 'three domestically'); trade press identifies Gulf Copper Galveston/Port Arthur facilities as the Texas build location following Finnish lead-yard phase; part of USD 3.5B five-vessel contract within 11-cutter national programme,,,Planned (medium polar icebreakers ASC; production shifts from Finland ~2027),,"US Coast Guard (prime: Davie Defense, Inc.)",Private (Inocea Group / Davie Defense operating at Gulf Copper facilities),"news.uscg.mil/Press-Releases/Article/4403354 (OFFICIAL .mil: 2 Helsinki + 3 domestically, first delivery early 2028); gcaptain.com/davie-finalizes-arctic-security-cutters-deal ($3.5B; Galveston+Port Arthur named); en.portnews.ru/news/393299 (Gulf Copper Galveston/Port Arthur); maritime-executive.com/article/u-s-finalizes-contract-for-six-arctic-security-cutters",85,2026-08-23
ARC-SHIP-057,Bollinger Shipyards - Houma/Lockport ASC Build Yard,"Houma & Lockport, Louisiana",USA,29.5958,-90.7194,"Arctic Security Cutters (up to 4x USCG ASC ~USD 2.143B FFP per SAM.gov / ~USD 2.2B per DHS, first US-built cutter expected 2029, all six by 2031),Mid-sized workboats,Offshore support",NULL,NULL,Arc4 (MPI design: Aker Arctic + Seaspan ULC; partners Rauma Marine Constructions + Seaspan),NULL,"US Coast Guard (DHS/DHS OIG oversight; Presidential Memorandum Construction of Arctic Security Cutters, up to 11 total ASCs)",Private,news.uscg.mil Press-Releases Article/4368196; dhs.gov/news 2026-07-02; gcaptain.com 2025-12-29; workboat.com shipbuilding coast-guard-awards-arctic-security-cutter-contracts,95,2026-08-23
ARC-SHIP-058,HD Hyundai Heavy Industries (Ulsan Shipyard),"Ulsan, South Korea",South Korea,35.5383,129.3114,"Icebreakers (Polar Class 4), Naval & Special-Purpose Vessels, Commercial Ships; landmark overseas icebreaker export",,,"Polar Class 4 (PC4) capability, 126 m / ~15,000 t, electric propulsion, breaks 1-1.2 m continuous ice, opens ~32 m channel (vs 24 m today), ~40% energy reduction; joint Sweden-Finland design; Baltic Sea icebreaking/towing/ice management",,"Swedish Maritime Administration (SMA) — new icebreaker (delivery 2029, USD 348.9M, first-ever Korean icebreaker export); commercial/naval fleet","Private (HD Hyundai Heavy Industries Co., Ltd.)","sjofartsverket.se/en/about-us/news-and-press/news/procurement-finalized-new-icebreaker-to-strengthen-swedens-preparedness/ (OFFICIAL Swedish Maritime Administration: USD 350M, larger than current, 32 m channel, ~40% energy reduction, delivery 2029, four-bid procurement); en.yna.co.kr/view/AEN20260422002300320 (Yonhap wire: USD 350M, first Korean icebreaker export, beat Finnish/Norwegian rivals); prnewswire.com/releases/hd-hyundai-heavy-industries-wins-south-koreas-first-overseas-icebreaker-order-302753724.html (HD HHI official release: USD 348.9M, 126 m / 15,000 t, PC4, electric propulsion); gcaptain.com (PC4, 1.2 m ice, Baltic, strategic Arctic push); koreaherald.com + koreatimes.co.kr (signing ceremony Stockholm, KOTRA + Korean Embassy support)",92,2026-08-25
ARC-SHIP-060,Skarvik AS — Lofoten Ship Repair & Conversion Yard (Svolvær),"Svolvær (Lofoten, Nordland)",Norway,68.2343,14.5573,"Ship repair & conversion; steel renewal, pipe fabrication, engine work, hull preparation, antifouling, class-related projects; propeller workshop",,,Yes — year-round covered repair (slipway + Syncrolift + dry dock in weather-protected halls) in Arctic Norway (Lofoten / Barents margin); serves Northern Norway fishing fleets and Coast Guard,,Fishing fleets in Nord-Norge; Norwegian Coast Guard; freight/intermediate vessels; Arctic & Northern Norway operators,Private (family-owned since 1935),"skarvik.no (OFFICIAL: founded 1935, family-owned, Svolvær/Kyst-Nordland, slipway + Syncrolift + dry dock + propeller workshop in weather-protected halls, steel renewal/pipe/engine/hull/antifouling/class work, fishing-fleet/coast-guard/freight clients, 7 staff); syncrolift.com (independent shiplift/transfer-system vendor reference for dock & Syncrolift capability); Fiskerstrand Verft (independent Norwegian yard benchmark — establishes Skarvik as a distinct Northern Norway Kystverket repair yard). NAME DISAMBIGUATION: distinct from Fiskerstrand Verft (Møre og Romsdal) and from Kimek AS (Kirkenes) — this is the separate Svolvær/Lofoten yard not previously in dataset",78,2026-08-25
ARC-SHIP-061,Aas Mek. Verksted AS — Vestnes Shipyard (newbuild / conversion / repair),Vestnes (Møre og Romsdal),Norway,62.6272,6.9985,"Newbuilding, conversions & repair; engineering; steel & aluminium construction; piping; electrical installation; outfitting",,,"Yes — covered slipway + floating dock for Arctic/Northern Norway, aquaculture (brønnbåt) and coastal workboats; year-round repair/outfitting",,"Norwegian coastal fleet; aquaculture/fish-farm (brønnbåt) vessels (e.g., Normex 7-boat contract, Apr 2026); fishing & offshore support",Private,"aasmek.no (OFFICIAL: founded 1911, Vestnes, engineering / steel+aluminium / piping / electrical / outfitting, floating dock + covered slipway, newbuild-conversion-repair, 17 staff, Nor-Fishing 2026, Normex 7 brønnbåter Apr 2026); Fiskerstrand Verft / Larsnes Mek. Verksted (independent Norwegian yard context — Aas Mek. is a distinct Møre og Romsdal shipyard). NAME DISAMBIGUATION: distinct from AS Mekanikk (Laksevåg) and from Kimek AS (Kirkenes) — this is the Vestnes, Møre og Romsdal yard not previously in dataset",76,2026-08-25
ARC-SHIP-062,St. John's Dockyard (Newdock) — Arctic-Capable Modernization (~C$250-300M),"St. John's Harbour, 475 Water Street, Newfoundland and Labrador",Canada,47.5615,-52.7126,"Vessel repair/refit, dry-docking, VLE & conversion; Arctic/icebreaker-capable; 6,550 m² steel machining & fabrication","Existing graving dock + new 28,000 t ship lift (largest in Western Hemisphere, post-modernization); multi-vessel",28000,"Yes — heavy/medium icebreaker repair, CCGS Arctic & offshore patrol vessel support",300+ (600+ serviced past decade; +220 trades jobs planned),"Canadian Coast Guard, RCN, offshore oil & gas; owners Membertou First Nation + Qalipu First Nation + Horizon Naval Engineering (Nov 2024)",Private (First Nation partnership),gov.nl.ca ECCC project-2393; canada.ca PSPC National Shipbuilding Strategy; financialpost.com; cbc.ca,88,2026-08-25
